Institution,Dataset,Dataset-URL,Filename,License,Attribution,Image-URI,MIME type,Kick-Off
Abteilung Kulturelles Erbe - Stadtarchiv Speyer,Fotografien aus dem Ersten und Zweiten Weltkrieg,https://codingdavinci.de/de/daten/fotografien-aus-dem-ersten-und-zweiten-weltkrieg,stadtarchivspeyer_nachlasskarllutz.jpg,CC BY-SA,Stadtarchiv Speyer,/sites/default/files/2019-04/stadtarchivspeyer_nachlasskarllutz.jpg,image/jpeg,Berlin 2015
Bayerische Staatsbibliothek,"Titeldaten und Bestandsnachweise der Bibliotheken in Bayern, Berlin und Brandenburg",https://codingdavinci.de/de/daten/titeldaten-und-bestandsnachweise-der-bibliotheken-bayern-berlin-und-brandenburg,bayerischestaatsbibliothek-B3Kat.jpg,CC0 1.0,,/sites/default/files/2019-04/bayerischestaatsbibliothek-B3Kat.jpg,image/jpeg,Berlin 2015
Berlinische Galerie,Heinrich Zille als Fotograf,https://codingdavinci.de/de/daten/heinrich-zille-als-fotograf,berl-gal-zille.jpg,public domain,,/sites/default/files/2019-04/berl-gal-zille.jpg,image/jpeg,Berlin 2017
Berlinische Galerie,Berliner Stadtansichten,https://codingdavinci.de/de/daten/berliner-stadtansichten,berl-gal-rueckwand.jpg,public domain,Berlinische Galerie,/sites/default/files/2019-04/berl-gal-rueckwand.jpg,image/jpeg,Berlin 2017
Berlinische Galerie,Berliner Secession: Die Sammlung Dr. Jörg Thiede,https://codingdavinci.de/de/daten/berliner-secession-die-sammlung-dr-joerg-thiede,berlinischegalerie-sammlungthiede.jpg,CC BY-SA 3.0,Berlinische Galerie - Zustiftung der Dr. Jörg Thiede-Stiftung,/sites/default/files/2019-04/berlinischegalerie-sammlungthiede.jpg,image/jpeg,Berlin 2015
Berlinische Galerie,Briefe und Texte aus dem Nachlass von Raoul Hausmann,https://codingdavinci.de/de/daten/briefe-und-texte-aus-dem-nachlass-von-raoul-hausmann,berlinischegalerie-sammlunghausmann.jpg,CC BY-SA 3.0,Berlinische Galerie - Nachlass Raoul Hausmann,/sites/default/files/2019-04/berlinischegalerie-sammlunghausmann.jpg,image/jpeg,Berlin 2015
Berlinische Galerie,Ostberliner Fotoarchiv (1962-1975),https://codingdavinci.de/de/daten/ostberliner-fotoarchiv-1962-1975,ostberliner_fotoarchiv.jpg,CC BY,"Gisela Dutschmann, Berlinische Galerie",/sites/default/files/2019-04/ostberliner_fotoarchiv.jpg,image/jpeg,Berlin 2014
Botanischer Garten und Botanisches Museum Berlin,Pflanzenbelege aus dem Botanischen Garten Berlin,https://codingdavinci.de/de/daten/pflanzenbelege-aus-dem-botanischen-garten-berlin,bgbm.jpg,CC BY-SA 3.0,Röpert D. (ed.): Digital specimen images at the Herbarium Berolinense.,/sites/default/files/2019-04/bgbm.jpg,image/jpeg,Berlin 2015
Botanischer Garten und Botanisches Museum Berlin,Pflanzenbelege aus dem Botanischen Garten Berlin,https://codingdavinci.de/de/daten/pflanzenbelege-aus-dem-botanischen-garten-berlin,bgbm.jpg,CC BY-SA 3.0,Röpert D. (ed.): Digital specimen images at the Herbarium Berolinense.,/sites/default/files/2019-04/bgbm.jpg,image/jpeg,Berlin 2017
Botanischer Garten und Botanisches Museum Berlin,Pflanzenbelege aus dem Botanischen Garten Berlin,https://codingdavinci.de/de/daten/pflanzenbelege-aus-dem-botanischen-garten-berlin,bgbm.jpg,CC BY-SA 3.0,Röpert D. (ed.): Digital specimen images at the Herbarium Berolinense.,/sites/default/files/2019-04/bgbm.jpg,image/jpeg,Berlin 2014
Botanischer Garten und Botanisches Museum Berlin,Botanik: Schriftprobensammlung des BGBM,https://codingdavinci.de/de/daten/botanik-schriftprobensammlung-des-bgbm,bgbm-autogr.png,CC BY-SA,Botanischer Garten und Botanisches Museum Berlin,/sites/default/files/2019-04/bgbm-autogr.png,image/png,Berlin 2017
Botanischer Garten und Botanisches Museum Berlin,Georg Schweinfurths botanische Zeichnungen,https://codingdavinci.de/de/daten/georg-schweinfurths-botanische-zeichnungen,bgbm-georg.jpg,CC BY-SA,,/sites/default/files/2019-04/bgbm-georg.jpg,image/jpeg,Berlin 2017
Computerspielemuseum,Spielen im 20. Jahrhundert: Konsolen und Computer,https://codingdavinci.de/de/daten/spielen-im-20-jahrhundert-konsolen-und-computer,computerspielemuseum.jpg,CC BY-SA 3.0,Computerspielemuseum,/sites/default/files/2019-04/computerspielemuseum.jpg,image/jpeg,Berlin 2015
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,CC0 1.0,,/sites/default/files/2019-04/DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,image/png,Berlin 2014
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,CC0 1.0,,/sites/default/files/2019-04/DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,image/png,Berlin 2015
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,CC0 1.0,,/sites/default/files/2019-04/DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,image/png,Nord 2016
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,CC0 1.0,,/sites/default/files/2019-04/DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,image/png,Berlin 2017
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,CC0 1.0,,/sites/default/files/2019-04/DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,image/png,Ost 2018
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,CC0 1.0,,/sites/default/files/2019-04/DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,image/png,Rhein-Main 2018
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,CC0 1.0,,/sites/default/files/2019-04/DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,image/png,Süd 2019
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,CC0 1.0,,/sites/default/files/2019-04/DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,image/png,Westfalen-Ruhrgebiet 2019
Deutsche Digitale Bibliothek,Das Datenportal der Deutschen Digitalen Bibliothek,https://codingdavinci.de/de/daten/das-datenportal-der-deutschen-digitalen-bibliothek,DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,CC0 1.0,,/sites/default/files/2019-04/DDB_Logo_2012_CMYK_R_300dpi_3201x1831.png,image/png,Niedersachsen 2020
Deutsche Nationalbibliothek,Kriegssammlung der Deutschen Bücherei 1914-1918,https://codingdavinci.de/de/daten/kriegssammlung-der-deutschen-buecherei-1914-1918,,,,,,Berlin 2015
Deutsches Buch- und Schriftmuseum der Deutschen Nationalbibliothek,Buch-Netzwerk in Leipzig 1913,https://codingdavinci.de/de/daten/buch-netzwerk-leipzig-1913,,,,,,Berlin 2015
Deutsches Filminstitut - DIF,Filme über Krieg und Alltag vor hundert Jahren,https://codingdavinci.de/de/daten/filme-ueber-krieg-und-alltag-vor-hundert-jahren,dff-logo.jpg,CC BY-SA 4.0,Deutsches Filminstitut & Filmmuseum,/sites/default/files/2019-04/dff-logo.jpg,image/jpeg,Rhein-Main 2018
Deutsches Filminstitut - DIF,Amateurfilme des frühen 20. Jahrhunderts,https://codingdavinci.de/de/daten/amateurfilme-des-fruehen-20-jahrhunderts,,,,,,Berlin 2015
Deutsches Museum,Porträts aus fünf Jahrhunderten,https://codingdavinci.de/de/daten/portraets-aus-fuenf-jahrhunderten,24_vorl_Deutsches-Museum_Portraetarchiv.jpg,CC BY-SA 4.0,Deutsches Museum,/sites/default/files/2019-04/24_vorl_Deutsches-Museum_Portraetarchiv.jpg,image/jpeg,Süd 2019
Deutsches Museum,Notenrollen für selbstspielende Klaviere,https://codingdavinci.de/de/daten/notenrollen-fuer-selbstspielende-klaviere,deutschesmuseum-klavierrollen.jpg,CC BY-SA 4.0,Deutsches Museum,/sites/default/files/2019-04/deutschesmuseum-klavierrollen.jpg,image/jpeg,Berlin 2015
Deutsches Museum,Notenrollen für selbstspielende Klaviere,https://codingdavinci.de/de/daten/notenrollen-fuer-selbstspielende-klaviere,deutschesmuseum-klavierrollen.jpg,CC BY-SA 4.0,Deutsches Museum,/sites/default/files/2019-04/deutschesmuseum-klavierrollen.jpg,image/jpeg,Süd 2019
Dokumentationszentrum NS-­Zwangsarbeit,NS-Zwangsarbeiterlager in Berlin,https://codingdavinci.de/de/daten/ns-zwangsarbeiterlager-berlin,,,,,,Berlin 2015
Ernst-Haeckel-Haus der Friedrich-Schiller-Universität Jena,Wissenschaftliche Instrumente des Ernst-Haeckel-Hauses,https://codingdavinci.de/de/daten/wissenschaftliche-instrumente-des-ernst-haeckel-hauses,ewg.jpg,CC BY-SA,Ernst-Haeckel-Haus der Friedrich-Schiller-Universität Jena,/sites/default/files/2019-04/ewg.jpg,image/jpeg,Berlin 2014
Ethnologisches Museum Berlin,Ethnologisches Museum Berlin,https://codingdavinci.de/de/daten/ethnologisches-museum-berlin,13310185614_ca1c3d5caf_o.jpg,CC BY-SA,Ethnologischen Museums Berlin,/sites/default/files/2019-09/13310185614_ca1c3d5caf_o.jpg,image/jpeg,Berlin 2015
Ethnologisches Museum Berlin,Ethnologisches Museum Berlin,https://codingdavinci.de/de/daten/ethnologisches-museum-berlin,13310185614_ca1c3d5caf_o.jpg,CC BY-SA,Ethnologischen Museums Berlin,/sites/default/files/2019-09/13310185614_ca1c3d5caf_o.jpg,image/jpeg,Berlin 2014
GRIPS Theater Berlin,Politische Karikatur für Kinder,https://codingdavinci.de/de/daten/politische-karikatur-fuer-kinder,grips-spielplan.jpg,CC BY,Rainer Hachfeld | GRIPSTheater Berlin,/sites/default/files/2019-04/grips-spielplan.jpg,image/jpeg,Berlin 2015
