Project,Project-URL,Filename,License,Attribution,Image-URI,MIME type,Event
Alt-Berlin,https://codingdavinci.de/de/projekte/alt-berlin,alt-berlin-app.jpg,,,/sites/default/files/2019-07/alt-berlin-app.jpg,image/jpeg,Berlin 2014
Berlin - 50 Jahre später,https://codingdavinci.de/de/projekte/berlin-50-jahre-spaeter,berlin-50-jahre.png,,,/sites/default/files/2019-07/berlin-50-jahre.png,image/png,Berlin 2014
Bestimmungsschlüssel,https://codingdavinci.de/de/projekte/bestimmungsschluessel,bestimmungsschluessel.png,,,/sites/default/files/2019-07/bestimmungsschluessel.png,image/png,Berlin 2014
Cyberbeetle,https://codingdavinci.de/de/projekte/cyberbeetle,cyberbeetle.jpg,,,/sites/default/files/2019-07/cyberbeetle.jpg,image/jpeg,Berlin 2014
DDBRest,https://codingdavinci.de/de/projekte/ddbrest,ddbrest.png,,,/sites/default/files/2019-07/ddbrest.png,image/png,Berlin 2014
DNB - Data Explorer,https://codingdavinci.de/de/projekte/dnb-data-explorer,dnb-explorer1.png,,,/sites/default/files/2019-07/dnb-explorer1.png,image/png,Berlin 2014
EthnoBand,https://codingdavinci.de/de/projekte/ethnoband,ethnoband.png,,,/sites/default/files/2019-07/ethnoband.png,image/png,Berlin 2014
EthnoTier,https://codingdavinci.de/de/projekte/ethnotier,ethnotier.png,,,/sites/default/files/2019-07/ethnotier.png,image/png,Berlin 2014
inside - 19xx,https://codingdavinci.de/de/projekte/inside-19xx,inside-19xx.jpg,CC BY,Verbrannte und Verbannte,/sites/default/files/2019-07/inside-19xx.jpg,image/jpeg,Berlin 2014
Kulturchronologie,https://codingdavinci.de/de/projekte/kulturchronologie,kulturchronologie.jpg,,,/sites/default/files/2019-07/kulturchronologie.jpg,image/jpeg,Berlin 2014
Lebendige Liste,https://codingdavinci.de/de/projekte/lebendige-liste,lebendige-liste.png,,,/sites/default/files/2019-07/lebendige-liste.png,image/png,Berlin 2014
Mnemosyne,https://codingdavinci.de/de/projekte/mnemosyne,mnemosyne.png,,,/sites/default/files/2019-07/mnemosyne.png,image/png,Berlin 2014
