Name,URL (CdV),Kurzbeschreibung,Beschreibung,Links,Lizenz des Quellcodes,Datensätze,Projekttyp,Bild,Event
Dating App: LOOK AT ME,https://codingdavinci.de/de/projekte/dating-app-look-me,,"Ziel unseres Projekts ist, dass die Leute in einer unterhaltsame Weise mehr über die Portraits aus dem Augustinermuseum erfahren können. Wie wäre es, wenn die Portraits über sich selbst was erzählen können? Oder wenn man ein eigenes Bild in den Stil eines Portraits umwandeln kann? Hierfür wurde eine von einer Dating-App inspirierte Webanwendung implementiert.",https://www.overleaf.com/read/ydffcfntrtqq (https://github.com/zekssmy/lookatme),,Look At Me! 100 Gesichter – 100 Geschichten,web app,"cover.jpeg, CC BY 4.0, Franz Xaver Winterhalter, Die Briefleserin, 1860, Augustinermuseum, M 32/011, Foto: Axel Killian",Baden-Württemberg 2022
ArtXFashion AI Designer,https://codingdavinci.de/de/projekte/artxfashion-ai-designer,"Dein Lieblingskunstwerk nicht nur im Kopf, sondern auch am Körper behalten.","Kann KI Mode? Kann KI kreativ? Diesen Fragen sind wir in unserem Projekt nachgegangen.
Das Resultat ist eine Deep Learning-Anwendung, welche mithilfe von Image Segmentation und Neural Content Style Transfer essenzielle Muster aus deinem Lieblingskunstwerk extrahiert und diese in Form eines kreativen Designs auf deine Kleidungsstücke überträgt.
Mit unserer hochskalierbaren Open Source-Web Application stellen wir unseren ArtXFashion AI Designer der Allgemeinheit zur Verfügung.",Github (https://github.com/u-adrian/CodingDaVinci-ArtXFashion),GNU Affero General Public License v3.0 (AGPL-3.0),Farben & Muster - ART x FASHION SHOW,"application, tool, visualization, web app",artxfashionaidesignerlogo.png,Baden-Württemberg 2022
Monster_Lab,https://codingdavinci.de/de/projekte/monsterlab,Game in dem ein Professor vor dem selbst erschaffenen Monster flüchtet,"In diesem Spiel wird ein Professor von einem Monster gejagt, dass er selbst gezüchtet hat und ihm ausgebrochen ist. Da das Monster gefährlich ist, rennt er vor ihm weg. Damit der Professor nicht gefressen wird, musst du ihm helfen über Tische, Bücher und andere Hindernisse zu springen. Mit etwas Glück findest du auch ein Powerup, was dich kurzzeitig zu einem Gott werden lässt.
Dieses Projekt ist im Rahmen des Jugendhackathons Hack To The Future entstanden.",,,,game,F_monsterlab_01_BenBrenner.png,Baden-Württemberg 2022
"KIS - ""Kunst im Städtle""",https://codingdavinci.de/de/projekte/kis-kunst-im-staedtle,"""Ist das Kunst oder ist das nur nett?"" - bewerte schwäbische Ortschaften und lass Dich dabei von historischen Prominenten inspirieren!","""Ist das Kunst oder ist das nur nett?"" - auf eine partizipierende Entdeckungsreise durch die schwäbischen Ortschaften und auf die Suche nach der wahren ""Kunst im öffentlichen Raum"", reflektiert durch die Stimme und Gesichter historischer Prominenten.
 ",,,"#SchauMichAn - Franz Seraph Stirnbrand (um 1788-1882) und seine Porträts der Stuttgarter Gesellschaft, Kunst im öffentlichen Raum (Stuttgart)","data enrichment, game, mobile app, remix, storytelling, web app",public domain,Baden-Württemberg 2022
Analyse der Tübinger Studentendaten,https://codingdavinci.de/de/projekte/analyse-der-tuebinger-studentendaten,"Wir zeigen schöne Visualisierungen, wie Graphen, Verwandtschaftsbeziehungen, Karten und Bubble-Charts zu den Tübinger Studentendaten.","Welche Geschichten kann eine Studentenakte erzählen? Wir schauen mit statistischen Methoden und Machine Learning in die Daten der Tübinger Studenten zwischen 1826 und 1906 hinein und visualisieren die Entwicklungen über die Zeit. Auf der Webseite sehen Sie Visualisierungen sowie erklärende und interpretierende Texte zu diesen.
Wir betrachten die folgenden Themenabschnitte: Studiengänge und Religionszugehörigkeiten, Herkunft der Studenten, Verwandtschaftsgraphen, Informationen der Väter und Studentenverbindungen.","Die fertige Webseite mit den Visualisierungen (https://rooedw.github.io/cdvbw22_students/), Github: Quellcode der Webseite (https://github.com/rooedw/cdvbw22_students)",MIT license,Studierendendaten der Universität Tübingen 1829-1906,"data enrichment, storytelling, visualization, website","cdv.jpg, public domain",Baden-Württemberg 2022
JaRm,https://codingdavinci.de/de/projekte/jarm,Game in welchem Gegenstände aus einem Museum entwendet werden,"Dieses Game ist durch Inspiration des Datensatzes ""Troja"" entstanden. Ziel ist hierbei in ein Museum einzubrechen, diverse Hindernisse zu meistern und schlussendlich Gegenstände zu entwenden.
Dieses Projekt ist im Rahmen des Jugendhackathons Hack To The Future entstanden.",https://afn-studiowastakentoo.itch.io/jarm  (https://afn-studiowastakentoo.itch.io/jarm),Common Development and Distribution License,"Troja – (Ge)schichten in Ton, Steinen & Scherben",game,"afnstudios.png, public domain",Baden-Württemberg 2022
KM3-Image-AI,https://codingdavinci.de/de/projekte/km3-image-ai,"Eine KI nach dem Prinzip „discriminative vs generative neural nets“, die mithilfe von gegeben Inputs (japanischen Querrollen) Kunstwerke erzeugt","Auf Basis des Datensatzes ""Japanische Querrollen"" ist die Idee entstanden, eine künstliche Intelligenz zu entwickeln, welche gegebene Kunstwerke nimmt und auf Basis dieser neue Kunstwerke erschafft.
Hierzu wurde eine künstliche Intelligenz nach dem Prinzip von „discriminative vs generative neural nets“ erschaffen. Als Input wurden Motive der Japanische Querrollen gewählt. Durch viele Iterationen werden die von der KI erzeugten Kunstwerke immer besser. Ziel ist, dass nur noch Experten der Kunstszene die erzeugten Motive von den echten der der Japanische Querrollen unterscheiden können.  
Dieses Projekt ist im Rahmen des Jugendhackathons Hack To The Future entstanden.",,,Emakimono - Japanische Querrollen,"application, remix, visualization","kmj.png, public domain",Baden-Württemberg 2022
History Map,https://codingdavinci.de/de/projekte/history-map,Eine verschiedenen Datensätzen basierende Map welche geografisch geordnete Informationen zu Datensätzen liefert,"Inspiriert durch die Datensätze ""Grundbuchdaten Mannheim"" und ""Kulturausbruch"" wurde eine Map entwickelt, welche verschiedenen Datensätzen geografisch positioniert. Jeder Datenpunkt enthält weitere Informationen und Interaktionsmöglichkeiten um einen tieferen Einblick in die Daten selbst zu erlangen.
Dieses Projekt ist im Rahmen des Jugendhackathons Hack To The Future entstanden.",https://historymapmannheim.theetfinder.repl.co/ (https://historymapmannheim.theetfinder.repl.co/),,"Grundstar – Mannheims Bevölkerung im 17. und 18. Jahrhundert/ Grundstar – the People of Mannheim in the 17th and 18th Century, Kulturausbruch – Von Afrika in die ganze Welt","application, data enrichment, maps, tool, visualization, web app, website","historymap.png, public domain",Baden-Württemberg 2022
Capture the Wild - a spectacular video journey,https://codingdavinci.de/de/projekte/capture-wild-spectacular-video-journey,"Ein Abenteuer in einer Low-Poly-Welt auf der Suche nach wilden Tieren, um sie zu ""fangen"" und so Teile der Original-Videoinhalte freizuschalten.","Ziel des Projekts ist es, die abenteuerliche Reise in das heutige Tansania von Fritz und Berta Kiehn aus den Jahren 1960 bis 1965 zu beleuchten und uns ein intimes Erlebnis eines pionierhaften Abenteuers zu vermitteln, das in mehreren mittellangen Filmen dokumentiert wird. Einzigartige Artefakte, die eine wilde und unberührte Art und Weise offenbaren, die das Ehepaar Kiehn in der Lage war zu inszenieren, indem es die ganze natürliche Schönheit der Landschaften und die unglaubliche Fauna, die sie bevölkert, einfing und hervorhob.
Wir beschlossen, die Landschaft auf moderne Weise neu zu interpretieren und eine Darstellung  der damaligen Umgebung zu schaffen, die  wichtige Merkmale aufgreift. Eine stilistische Low-Poly-Interpretation, die funktional und ansprechend für die heutigen Gamer ist, aber auch das Videomaterial aufwertet. Eine 3D-Welt, die von wilden Tieren bevölkert wird und in der sich der Spieler mit dem ikonischen Jeep auf der Suche nach den Tieren, die sie bevölkern, frei bewegen kann. Die einheimische Fauna wurde entsprechend den Originalaufnahmen positioniert, damit die Spieler die virtuelle Welt mit den Videoaufnahmen abgleichen können. 
Sobald die Tiere gefunden sind, können die Spieler sie ""einfangen"", indem sie die auf dem Jeep positionierte Kamera steuern und Videoinhalte zu ihnen freischalten, indem sie sie fotografieren.
Die digitalen Entdecker können dann die sorgfältig getrennten und vertonten Videoinhalte genießen und den Abenteuer- und Entdeckergeist der Dokumentarfilmpioniere nachempfinden. 
Um den Gameflow fesselnd zu gestalten, müssen sich die Spieler mit den Schwierigkeiten auseinandersetzen, mit denen die Entdecker damals konfrontiert waren. Zuerst müssen sie die Tiere finden, dann müssen die Spieler sie aufnehmen und sie durch das Sammeln von Tier-Plaketten und das Freischalten von Videoinhalten einfangen. Es ist jedoch wichtig, mit den Benzinressourcen sorgsam umzugehen, da die Spieler sonst neu beginnen müssen.","Quellcode (https://github.com/TawsTm/Capture-the-Wild), Spieldemos (https://tawstm.itch.io/capture-the-wild)",MIT license,Die Afrikareisen von Fritz und Berta Kiehn,game,"Gruppenbild_final2.jpg, CC BY-SA 3.0, Carlotta Reinders, Icaro Orengo, Philipp Wandel",Baden-Württemberg 2022
ScrapHumor,https://codingdavinci.de/de/projekte/scraphumor,ScrapHumor is a card game which merges two datasets seamlessly and it is funny! SrcapHumor is targeted to the youth.,"Our project is about humor and subjectiveness. It was developed based on datasets of images from Landesmuseum Württemberg and nine stories from comic writer René Schweizer provided by HumorCare e.V. Deutschland Österreich.
We took the context of their contents, that were images of scrappy objects and funny texts and based it on existing card games such as Dixit and Cards Against Humanity, to build our game mechanics. After that, we tested it with friend and made some improvements.
ScrapHumor is a turn-based card game with lots of fun mechanics, twists and turns which captures the player on the first shuffle. The game is birthed as a marriage of the two datasets with the underlying theme being the exploration of humor in different forms. It consists of text cards and image cards which follow a series of rules, draws and plays. The project is fuelled by the passion of creating a games based on the two datasets to convey humor in different media.
A valid concern of the group was how to also create a digital scenario for a game that, initially, would be printed and analog. So we had the idea of creating NFTs of the game cards and provide for the game winners a token to enable the winners to acquire these NFTs. This is the first version and we will continue to work on the project by exploring the use of the cards as Non-fungible Tokens (NFTs).","Project Demo (https://drive.google.com/drive/folders/10Gwb_gyKc2FKBJG3PiXVUyl4VGLTJYq9?usp=sharing), Source Code (https://github.com/ScrapHumor/ScrapHumorNFT.git)",MIT license,"Schnipsel zwischen Klappentext und Cover aus der Hommage an René Schweizer. Die Kunst des Komischen, Schrott or not? – ""Geschmacksverirrungen"" aus der Zeit um 1900","game, remix, web app","PPT Cover square_3.png, CC BY-SA 4.0, 2022 ScrapHumor",Baden-Württemberg 2022
