Institution,Datenset,URL (CdV),Beschreibung,Beschreibung (ohne Zeichenbeschränkung),Zusammenfassung auf Englisch,Thema,Objekttypen,Lizenz der Mediendateien,Lieferformat der Metadaten,Metadaten-Schema,Kontrollierte Vokabulare,Lizenz der Metadaten,Titelbild (Filename),Kick-Off
Landesarchiv Baden-Württemberg,Fotosammlung Willy Pragher,https://codingdavinci.de/de/daten/fotosammlung-willy-pragher,"Der vorliegende Bestand enthält Glasplattennegative der Sammlung des Fotografen Willy Pragher. In jahrzehntelangem Wirken hat Pragher Ereignisse, Persönlichkeiten, Landschaften, Städte und Szenen aus dem Alltag und der Wirtschaft, aus Sport und Kultur in Südwestdeutschland (besonders in Südbaden) in der zweiten Hälfte des vergangenen Jahrhunderts facettenreich im Bild festgehalten. Darüber hinaus kommt Praghers Lebenswerk aufgrund seines Wirkens in Berlin in den 1920er und 1930er Jahren und anschließend in Rumänien sowie aufgrund seiner vielen Fotoreisen auch eine große überregionale Bedeutung zu. Die Sammlung umfasst insgesamt mehrere hunderttausend Filmnegative, rund 6.000 Glasplattennegative, 110.000 Papierpositive und 27.000 Diapositive aus dem Zeitraum 1926 bis 1992. Die bereitgestellten Daten umfassen Digitalisate der Glasplattennegative aus der Sammlung Pragher aus den 1920er Jahren.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Sport und Spiel, Wirtschaft und Finanzwesen","Bild, Scan eines Fotos","CC BY, Landesarchiv Baden-Württemberg, Fotograf: Willy Pragher",CSV,,,"CC0 1.0, Landesarchiv Baden-Württemberg, Fotograf: Willy Pragher",,Süd 2019
Landesarchiv Baden-Württemberg,Fotos und Grafiken des Staatstheaters Stuttgart,https://codingdavinci.de/de/daten/fotos-und-grafiken-des-staatstheaters-stuttgart,,"Der Bestand „Hof-/Landes-/Staatstheater Stuttgart: Fotos und Graphiken“ umfasst zum einen 56 Glasplatten-Positive und -Negative der Gebäude des Königlichen Hoftheaters, des Interimstheaters und der neuen Littmann-Bauten während und unmittelbar nach ihrer Errichtung; außerdem Innenräume, Werkstätten, Requisiten, Inventar und Personal bis in die Zeit unmittelbar nach dem Ersten Weltkrieg. Der erheblich umfangreichere Teilbestand der Inszenierungs- und sonstigen Fotos enthält Bilder zahlreicher Aufführungen der Württembergischen Landestheater von 1896 bis 1944. Darüber hinaus sind eine größere Anzahl an Zeichnungen/Grafiken, 5 Bände Fotoalben und 70 ursprünglich gerahmte Einzelstücke (überwiegend Fotografien, daneben einige Kupfer-/Stahlstiche, Lithografien und Zeichnungen) im Bestand enthalten. Den weitaus größten Teil der Aufnahmen bilden Szenenfotos, die wohl fast immer anlässlich der Premiere des jeweiligen Stücks (Uraufführung, Erstaufführung oder Neuinszenierung) entstanden sind. Art und Datum der Aufführung waren in der Regel handschriftlich auf den originalen Fototaschen oder auf der Rückseite der Papierabzüge vermerkt. Diese Daten sowie die Angaben über die künstlerischen Leiter der Inszenierung (Regisseure, Dirigenten, Chorleiter, Choreographen/Tanzmeister, Bühnen- und Kostümbildner) sind nun in den Metadaten abrufbar. Verschiedene Teile des sehr umfangreichen Bestandes wurden in den letzten Jahren digitalisiert und werden nun für Coding da Vinci zur Verfügung gestellt.

Der zweite Bestand, ""Hof-/Staatstheater Stuttgart: Bände und Kostümbilder"", enthält die sogenannten Theaterzettelbände, Kassen- und Abrechnungsbücher, Personallisten, Besetzungsbücher (Oper und Schauspiel), Aufführungsverzeichnisse, Kritikenbücher und in großem Umfang Kostümbilder und -entwürfe. Die Bilder stammen aus den Jahren 1808 bis 1972, der größte Teil entstand in der 2. Hälfte des 19. Jahrhunderts und der 1. Hälfte des 20. Jahrhunderts. Digitalisiert wurden hiervon die Theaterzettelbände mit den gedruckten Informationsmaterialien (Handzettel, Plakate) zu den verschiedenen Aufführungen des Staatstheaters sowie die Kritikenbücher mit ausgeschnittenen Zeitungskritiken zu den einzelnen Inszenierungen. Hinzu kommen einzelne Kostüm- und Szenebilder von zwei Inszenierungen im Jahr 1865 bzw. 1912.",,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur","Bild, Scan eines Fotos, Druckgrafik, Zeichnung","CC BY, Landesarchiv Baden-Württemberg",CSV,,,"CC0 1.0, Landesarchiv Baden-Württemberg",,Süd 2019
Landesarchiv Baden-Württemberg,Patente und ­Zeichnungen aus den Jahren 1840­-1877,https://codingdavinci.de/de/daten/patente-und-zeichnungen-aus-den-jahren-1840-1877,"Der Bestand umfasst eine Sammlung an Patenten aus der Frühzeit der Industrialisierung, die einen guten Einblick in Erfindungsreichtum und Problemstellungen des 19. Jh. im Raum Baden­-Württemberg bietet. Es handelt sich dabei um rund 3.500 Digitalisate. Die Patente wurden weitgehend mit Ortsnormdaten und der ehemaligen Schlagwortnormdatei (später GND) erschlossen. Zur Relevanz und Geschichte des Bestands bzw. auch zur Digitalisierung und Erschließung siehe ebenfalls den dazu publizierten Artikel: Norbert Hofmann und Gerald Maier: Patentakten im Netz: Erschließung und Online­ Präsentation des Bestandes E170a Württembergische Patentkommission der Zentralstelle für Gewerbe und Handel. In: Kulturgut aus Archiven, Bibliotheken und Museen im Internet. Neue Ansätze und Techniken (Werkhefte der Staatlichen Archivverwaltung Baden­-Württemberg). Stuttgart 2004.
Unter seiner Federführung entsteht außerdem das  Archivportal-D  als DFG-gefördertes Teilprojekt der Deutschen Digitalen Bibliothek, das auf das API der DDB aufbaut.
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF",,,"Technik und Wissenschaft, Wirtschaft und Finanzwesen","Bild, Foto eines 3D Sammlungsobjektes",CC BY 3.0,XML,,GND,CC0 1.0,,Berlin 2015
Internationales Theaterinstitut (ITI) Deutschland / Mime Centrum Berlin,Die Tanzfabrik Berlin von 1978 bis 1990,https://codingdavinci.de/de/daten/die-tanzfabrik-berlin-von-1978-bis-1990,"Die Wirkungsgeschichte der 1978 im westlichen Teil Berlins gegründeten und bis heute existierenden „Tanzfabrik Berlin“ stellt eine der außergewöhnlichsten Erscheinungen der jüngeren Berliner Kunst-, Stadt- und Gesellschaftsentwicklung dar. Die Tanzfabrik Berlin, ein Ort, der Ausbildung, Produktion und Präsentation von Tanz stets in enger Verflechtung dachte und lebte, ist dabei Teil politischer wie kultureller Strömungen, die die Stadt West-Berlin in den 80er Jahren stark prägten. Dafür standen Phänomene wie die „Einstürzende(n) Neubauten“, „Die Tödliche Doris“, Hausbesetzungen, die Gründung der TAZ, die Eröffnung des SO36. Mit der Digitalisierung, Verzeichnung und Zugänglichmachung von audiovisuellen Dokumenten zur Gründungsphase der Tanzfabrik konnten erstmals systematisch Informationen zu Personen, Wirkstätten, Aufführungen der Tanzfabrik Berlin erfasst werden. Die Videos dokumentieren die Arbeit der „Tanzfabrikler“ und geben damit ein einmaliges Bild der Entwicklung des zeitgenössischen Tanzes in West-Berlin wider.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur",,CC0 1.0,XML,EDM,,CC0 1.0,,Rhein-Main 2018
Internationales Theaterinstitut (ITI) Deutschland / Mime Centrum Berlin,Tanz und Theater: Mediathek des Mime Centrums,https://codingdavinci.de/de/daten/tanz-und-theater-mediathek-des-mime-centrums,,"Die Mediathek für Tanz und Theater des Mime Centrum entstand Anfang der 90er Jahre aus der Videosammlung des Ostberliner Festivals „Woche des Gestischen Theaters“. Daten zu Videoaufzeichnungen von Tanz- und Theateraufführungen mit Informationen zur dokumentierten Aufführung (Zeit/Ort, Regisseur/Choreograf/Autor; Mitwirkende etc.) sowie zur Aufzeichnung selbst (Kamera, Format) wurden seit 2006 erfasst. Hierzu wurde eine MySQL-Datenbank erstellt, die mit Ruby-on-Rails aufgesetzt wurde und über die Website  www.mimecentrum.de  erreichbar ist. Die Felder / Struktur der Metadaten wurden nach den praktischen Erfahrungen der Dokumentaristen und der Nutzer erstellt. Es werden keine kontrollierten Metadaten verwendet, auch Georeferenzen oder Referenzen auf GND existieren nicht. Das Mime Centrum Berlin (MCB) arbeitet als ständiges Projekt des ITI. Es wurde 1990 gegründet und fokussiert sich als Arbeits-, Informations- und Dokumentationszentrum auf den Ausbau einer öffentlichen Mediathek, auf die Pflege internationalen Austausches in Form von Workshops, Lectures und Diskussionen sowie auf die Dokumentation von ausgewählten Aufführungen mit dem thematischen Schwerpunkt zeitgenössischen Tanzes und Theaters. Die Sammlung der Mediathek beinhaltet unikale Videoproduktionen zu Künstlern, Kompanien, Festivals, Theaterschulen und Ausbildungszentren und bietet einen umfangreichen Fundus an Informationen und Kontakten zum Thema Tanz. Zu den bedeutenden Beständen des MBC gehören Stückaufzeichnungen zeitgenössischer Choreografen wie Jochen Roller, Thomas Lehmen, Xavier Le Roy, Christoph Winkler und Laurent Chetouane. Die Bestände der Mediathek umfassen knapp 7.000 audiovisuelle Materialien (darunter DVDs, VHS, DV Cam u.a.) mit einer Gesamtlänge von rund 180.000 Minuten. Der Bestand ist in einer MySQL-Datenbank mit rund 6.300 Einträgen verzeichnet.

Das deutsche Zentrum des Internationalen Theaterinstituts (ITI) ist Teil des 1948 gegründeten weltumspannenden Netzwerks des Theaters, das unter dem Schirm der UNESCO dem wechselseitigen Austausch der Theaterschaffenden der Welt dient. Die deutsche Sektiondes ITI existiert seit 1955, seit 1957 ist die Bundesrepublik aktives Mitglied des internationalen Netzwerks. Heute sind rund 200 Künstler, Theaterfachleute und Institutionen aus allen Bereichen der Darstellenden Künste Mitglieder im Zentrum Bundesrepublik Deutschland des ITI e.V.. Das deutsche Zentrum initiiert Modellvorhaben, realisiert eigene Projekte, unterstützt auf kulturpolitischer Ebene den internationalen Austausch und berät Künstler, insbesondere zu Fragen der internationalen Zusammenarbeit. Zu den wichtigsten Projekten gehört das Festival Theater der Welt, „touring-artists.info“ (das Informationsportal für mobile Künstlerinnen und Künstler, Künstler-Symposien sowie das wissenschaftliche Balzan-Preis-Projekt von Prof. Manfred Brauneck „Die Rolle der Freien Theater im europäischen Theater der Gegenwart: strukturelle und ästhetische Veränderungen“.""

Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF
Datenbankübersicht: PDF",,Kunst und Kultur,Video,CC0 1.0,CSV,,,CC0 1.0,,Berlin 2015
Stiftung Haus der Geschichte der Bundesrepublik Deutschland,Fotos der Studentenrevolte 1967/68,https://codingdavinci.de/de/daten/fotos-der-studentenrevolte-196768,"Die Stiftung Haus der Geschichte der Bundesrepublik Deutschland beteiligt sich am Hackathon „Coding da Vinci“ 2015 mit einem Auszug aus dem Fotobestand Ludwig Binders, der u.a. die Studentenrevolte in Berlin 1967/68 als Fotojournalist dokumentiert hat. Bei den zur Verfügung gestellten Bildern handelt es sich um Presseabzüge, die in dem Bestand überliefert sind, damit also um Material, das der Fotograf selbst für weitere Verwendungen in Betracht gezogen hat. Ludwig Binder ist einer der bekannten, aber bisher unerforschten Fotojournalisten der Bundesrepublik.
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF",,,"Geschichte und Geografie, Medien und Information, Politik und Militär","Bild, Scan eines Fotos",CC BY-SA 3.0 DE,XML,,,CC BY-SA 3.0 DE,,Berlin 2015
GRIPS Theater Berlin,Politische Karikatur für Kinder,https://codingdavinci.de/de/daten/politische-karikatur-fuer-kinder,"Das GRIPS Theater hat mit seinen Theaterstücken für Kinder Maßstäbe gesetzt. Es hat gezeigt, dass die Auseinandersetzung mit der realen Lebenswelt für Kinder nicht nur zumutbar, sondern ein großer Spaß sein kann. Der Zeichner und Karikaturist Rainer Hachfeld hat über Jahrzehnte hinweg mit seinen Zeichnungen die Arbeit des GRIPS Theaters begleitet. Er gestaltete die Coverzeichnungen der monatlich oder zweimonatlich erscheinenden Spielpläne und einige Plakatmotive. Die Zeichnungen sind exemplarische Beispiele für politische Karikatur für Kinder. Anarchistisch, spielerisch, lustig und realitätsbezogen. Sie zeigen eine neue Aktualität der Kinderkarikatur. Die Mediendateien bestehen aus Scans der Spielplan-Cover-Seiten. Die Metadaten enthalten Name, Lizenzangaben und Erscheinungsdaten sowie einzelne Bemerkungen zu den Scans.
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF & Zusatz",,,"Bildung und Erziehung, Gesellschaft und Alltagsleben, Medien und Information",Bild,CC BY,CSV,,,CC BY,,Berlin 2015
Deutsche Nationalbibliothek,Kriegssammlung der Deutschen Bücherei 1914-1918,https://codingdavinci.de/de/daten/kriegssammlung-der-deutschen-buecherei-1914-1918,"Die Kriegssammlung der damaligen Deutschen Bücherei entstand 1914 zeitgleich mit anderen Weltkriegssammlungen innerhalb des Deutschen Reichs. Aufgabe der „Kriegsstelle“ war die Sammlung der Kriegsdrucksachen im weitesten Sinne. Dazu gehörten neben Büchern, Broschüren, Zeitungen und Karten auch Plakate, Flugblätter, Einblattdrucke, Fotos, Notgeld und Lebensmittelmarken. Inhaltlich wurde die Kriegssammlung in einem gesonderten Zettelkatalog mit ca. 40.000 Titelkarten erschlossen. Die dafür verwendete Weltkriegssystematik umfasst 20 Hauptgruppen und 1.352 Untergruppen. Die heute noch vorhandenen Drucksachen im Bestand der Deutschen Nationalbibliothek wurden durch ein Projektteam gesichtet, erschlossen, zum Teil digitalisiert und virtuell zu einer Sammlung zusammengefasst.
Die Sammlung enthält neben Referenzen zur GND (Gemeinsamen Normdatei) auch 1.043 gemeinfreie Digitalisate darunter Monografien, Plakate, Einblattdrucke, Ehrendoktorurkunden und Flugblätter. Für ca. die Hälfte liegen OCR Daten in Form von TXT und XML vor.
Informationen zur zusätzlichen SRU-Schnittstelle: http://www.dnb.de/DE/Service/DigitaleDienste/SRU/sru_node.html
Für die SRU-Schnittstelle wird ein Access-Token für den Veranstaltungszeitraum bis zum 16. Juli 2015 zur Verfügung gestellt.
Access token: 6cbd1c81144369ed601f4e9c56b07c
Bsp.: Abfrage für die Metadaten zur Sammlung Erster Weltkrieg im Format RDF - XML 
Bsp.: Abfrage für die Metadaten zu den freien Digitalisaten im Format RDFxml (1.043): 

Die Digitalisate sind immer unter dem Archiv-Link in Zusammenhang mit dem Identifier (IDN) abruf- und downloadbar http://d-nb.info/[IDN]/34 (führt zum ZIP-Container)
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Medien und Information, Politik und Militär, Sprache und Literatur","Text, Amtliche Publikation, Biografie, Buch, Druckwerk, Urkunde, Bild, Foto eines 3D Sammlungsobjektes, Scan eines Fotos",public domain,"CSV, XML","MARC21-XML, RDF-Turtle",GND,CC0 1.0,,Berlin 2015
Deutsches Filminstitut - DIF,Filme über Krieg und Alltag vor hundert Jahren,https://codingdavinci.de/de/daten/filme-ueber-krieg-und-alltag-vor-hundert-jahren,"22 kurze bis mittellange Filme aus den Sammlungen des Deutschen Filminstituts & Filmmuseums, die im Rahmen des EFG1914 Projektes von 2012-2014 digitalisiert wurden, lassen uns zurückblicken auf das Leben vor 100 Jahren.
Und natürlich dreht sich vieles um den Ersten Weltkrieg, zentrales Ereignis und erste Katastrophe des noch jungen Jahrhunderts, mit weitreichenden Folgen für die weiteren Jahrzehnte. Wir erfahren aber auch, was die Gesellschaft ausmachte und bewegte, die hinter diesem Krieg stand.
So finden sich neben Kriegsberichten und Propagandabeiträgen auch leichte Berichterstattung aus den adligen Kreisen („Fürstliches Familienglück“) sowie die besondere Gattung der Tonbilder, die sich hier unter anderem mit den wirklich schlimmen Sorgen von Jedermann auseinandersetzen („Beim Zahnarzt“).
Hinter all dem ermöglichen viele Filme, in denen es von Uniformen und Paraden nur so wimmelt, einen Einblick in den Geist der Kaiserzeit und des Nationalismus.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Medien und Information, Politik und Militär, Transport und Verkehr","Video, Dokumentarfilm","CC BY-SA 4.0, Deutsches Filminstitut & Filmmuseum",XML,,,CC0 1.0,,Rhein-Main 2018
Deutsches Filminstitut - DIF,Amateurfilme des frühen 20. Jahrhunderts,https://codingdavinci.de/de/daten/amateurfilme-des-fruehen-20-jahrhunderts,"Der Kronberger Apotheker und Erfinder Julius Neubronner (1852-1932) war einer der ersten, der in der Rhein-Main-Region Filme drehte. Im Jahre 1903 erwarb er seine erste Kamera, eine „Kino“, die die Dresdner Foto-Firma Ernemann herstellte. Mit ihr nahm er historische Ereignisse auf und hielt den Alltag seiner Familie fest. Julius Neubronner drehte aber auch kleine Sketche, von ihm selbst mit seiner Familie auf einer im Garten seines Hauses errichteten Bühne in Szene gesetzt.
Julius Neubronner zaubert 
Kaiser Wilhelm II. im Auto 
Julius Neubronner mit Enkelkindern 
Gordon-Bennett-Autorennen (17.6.1904) 
Familie Neubronner geht spazieren 
Der Zehnender 
Hochzeit Dodo Neubronner in Kronberg 
Carl Neubronner mit Tochter Ilse 
Kaiser Wilhelm II. weiht eine Gedenktafel [...] 
Luftnummer 
Ankunft von König Eduard VII. von England in Kronberg 
Kaiserpreis-Autorennen (13.6.1907) 
Schneeschuhlaufen auf dem Feldberg 
Rodelbahn Schwarzer Weg Kronberg 
Eislauf auf dem Kronberger Teich 
Moren tanzt 
Kronberger Eisenbahn 
Rodeln 
Karnevalszug 
Bei Onkel Willi Lindheimer in Schwalbach 
Willi geigt 
Kronberger Automobil-Jugendrennen 18.8.1907 
Hund und Bär im Zirkus 
Festzug in Hessen 
Kaisers Karussell in Kronberg 
Hochzeit des Forstmeisters Niederstadt in Hachenburg 
Umzug des Schützenvereins in Kronberg 
Drei Geishas 
Eislauf 
Des Jägers Traum 
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2015: PDF",,,Gesellschaft und Alltagsleben,"Bild, Scan eines Fotos, Video, Amateurfilm",CC BY-SA,XML,,,CC0 1.0,,Berlin 2015
